Read, קרא
Permissions get applied on Users based on what Roles they are assigned., הרשאות חלות על משתמשים על סמך התפקיד לו הם מוקצים.
off, כבוי
Posts filed under {0}, פוסטים מקוטלגים תחת {0}
Cannot delete Home and Attachments folders, לא ניתן למחוק את דף הבית והתיקיות המצורפות לו
Access Token, מפתח גישה
Disable Report, חסום דוח
Letter Head Name, שם נייר המכתבים
fast-backward, זז במהירות
No file attached, אין קובץ המצורף
No alerts for today, אין התראות להיום
Reset Password, איפוס סיסמה
Created By, נוצר על-ידי
Table, שולחן
indent-right, הזחה לימין
step-backward, החזר אחורה
"Append as communication against this DocType (must have fields, ""Status""
Shared With, משותף עם
It is risky to delete this file: {0}. Please contact your System Manager., מסוכן למחוק קובץ זה: {0}. אנא צור קשר עם מנהל המערכת שלך.
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information., הוספת זיהוי של Google Analytics: למשל. UA-89XXX57-1. אנא חפש עזרה ב- Google Analytics לקבלת מידע נוסף.
Width, רוחב
Content, תוכן
Linked With, מקושר עם
Reports, דוחות
Removed {0}, הוסר {0}
Frequency, תדירות
Please attach a file first., נא לצרף קובץ.
asterisk, כוכבית
dd.mm.yyyy, dd.mm.yyyy
Title, כותרת
Javascript, Javascript
{0} are currently viewing this document, {0} צופה כרגע במסמך זה
Global Unsubscribe, ביטול מנוי כללי
Not Found, לא נמצא
Parameter, פרמטר
Sorry! Sharing with Website User is prohibited., מצטערים! שיתוף עם משתמש אתר הינו אסור.
Enter your password, הכנס את הסיסמה שלך
Query Options, אפשרויות שאילתא
Attachments, קבצים מצורפים
Action, פעולה
Permission Level, רמת הרשאה
Website Slideshow Item, פריט במצגת האתר
barcode, ברקוד
Chat, צ'אט
Highlight, גולת כותרת
"Description for listing page, in plain text
Send Notifications To, שלח התראות ל
Monospace, רווח בודד
Next actions, הפעולות הבאות
Invalid Home Page, דף בית לא חוקי
Project, פרויקט
Email Unsubscribe, לא מנוי לדואר האלקטרוני
Action Failed, הפעולה נכשלה
plus-sign, סימן פלוס
Could not connect to outgoing email server, לא ניתן להתחבר לשרת הדואר האלקטרוני היוצא
Upcoming Events for Today, אירועים להיום
arrow-left, חץ שמאלי
Update Field, עדכן שדה
Fold must come before a Section Break, Fold חייב לבוא לפני מעבר מקטע
Suggested Username: {0}, שם משתמש מוצע: {0}
View List, הצג רשימה
Can Share, יכול לשתף
Current status, מצב נוכחי
{0}: {1} in {2}, {0}: {1} ב {2}
align-center, יישר למרכז
Short keyboard patterns are easy to guess, קל לנחש דפוסי מקלדת קצרים
Slideshow Items, מצגת פריטים
Portal Menu Item, פורטל תפריט הפריטים
Allow Multiple, אפשר טפסים מרובים
Locals, מקומיים
Use SSL, השתמש ב- SSL
Is Table, האם טבלה
"If checked, all other workflows become inactive."
Options Help, אפשרויות עזרה
ok-sign, סימן OK
Master, אשף
Company Introduction, מבוא על החברה
Opened, נפתח
Script, סקריפט
User Cannot Create, משתמש אינו יכול ליצור
Column Name, שם עמודה
Check this to pull emails from your mailbox, סמן זאת על מנת למשוך מיילים מתיבת הדואר שלך
Slideshow, מצגת
Allow user to login only after this hour (0-24), אפשר למשתמש להתחבר רק לאחר שעה זו (0-24)
Show Relapses, הצג שגיאות חוזרות
{0} must be set first, {0} יש להגדיר קודם את
Web Form, טופס אינטרנטי
Too many writes in one request. Please send smaller requests, יותר מדי דרישות בבקשה אחת. נא לשלוח בקשות קטנות
tint, צבע
Sender, שולח
move, מהלך
Download, הורדה
Refreshing..., מרענן ...
Test_Folder, תיקיית_ניסיון
You are not permitted to access this page., אינך מורשה לגשת לדף זה.
Predictable substitutions like '@' instead of 'a' don't help very much., החלפות צפויות כמו '@' במקום 'a' לא עוזרות במיוחד.
Users and Permissions, משתמשים והרשאות
Default Outgoing, דואר יוצא המוגדר כברירת מחדל
Verify Password, אמת סיסמה
Insert Code, הכנס קוד
circle-arrow-down, מעגל עם חץ כלפי מטה
Select or drag across time slots to create a new event., בחר או גרור על פני חריצי זמן כדי ליצור אירוע חדש.
camera, מצלמה
Operation, תפעול
Can Read, יכול לקרוא
Page, דף
Set Value, ערך שנקבע
Help, עזרה
Enter folder name, הזן את שם תיקייה
User is mandatory for Share, יש להזין את המשתמש כדי לשתף
Result, תוצאה
Invalid Request, בקשה לא חוקית
Username {0} already exists, שם משתמש {0} כבר קיים במערכת
Email Group List, רשימת קבוצת דואר אלקטרוני
"Filtered by ""{0}""", סונן על ידי '{0}'
Amount, סכום
Mr, מר
Mobile No, מספר טלפון נייד
SMS Gateway URL, כתובת אתר ספק SMS
Geo, Geo
{0}: No basic permissions set, {0}: לא הוגדרו הרשאות בסיסיות
Friday, יום שישי
ASC, ASC
Options not set for link field {0}, לא הוגדרו אפשרויות לקישור שדה {0}
Printing, מדפיס
"Certain documents, like an Invoice
Facebook, פייסבוק
Value Changed, הערך השתנה
Edit DocType, ערוך DOCTYPE
Length, אורך
Leave this conversation, השאר את השיחה הזאת
Import, ייבא
Markdown, סימון
Select a group node first., בחר קודם ישות מסוג קבוצה.
"Rules for how states are transitions, like next state and which role is allowed to change state etc."
Sort Order, מיין לפי סדר
No permission to {0} {1} {2}, אין הרשאות {0} {1} {2}
Insert, הכנס
Not Permitted, לא מורשה
Preview, תצוגה מקדימה
Karma, קארמה
You cannot unset 'Read Only' for field {0}, לא ניתן לבטל את הגדרה של 'קריאה בלבד' לשדה {0}
Recent years are easy to guess., קל לנחש את השנים האחרונות.
You don't have permission to get a report on: {0}, אין לך הרשאה לקבל דיווח על: {0}
Marked As Spam, סומן כדואר זבל
ID, מספר זיהוי
Custom HTML Help, מותאם אישית HTML עזרה בשימוש ב-
Liked by {0}, סומן כ'אהבתי' על ידי {0}
User Type, סוג המשתמש
Attach Document Print, צרף הדפסת מסמך
Start Time, זמן התחלה
Cannot edit a standard report. Please duplicate and create a new report, אין אפשרות לערוך דוח רגיל. אנא שכפל וצור דוח חדש
Your Name, השם שלך
Blog, בלוג
SMS sent to following numbers: {0}, SMS שנשלח למספרים הבאים: {0}
Max width for type Currency is 100px in row {0}, הרוחב המרבי למטבע סוג הוא 100 פיקסלים בשורה {0}
"How should this currency be formatted? If not set, will use system defaults"
share-alt, שתף
Size, גודל
Open {0}, פתח {0}
Not allowed to print draft documents, אין אישור להדפיס מסמכי טיוטה
In Reply To, בתשובה ל
"If the user has any role checked, then the user becomes a ""System User"". ""System User"" has access to the desktop"
wrench, מפתח ברגים
Loading, טוען
Remove Filter, הסר מסנן
Custom, מותאם אישית
Close, סגור
CC, CC
"For updating, you can update only selective columns."
Fax, פקס
User not allowed to delete {0}: {1}, משתמש לא מורשה למחוק את {0}: {1}
Tags, תגיות
Value for a check field can be either 0 or 1, הערך עבור שדה הבדיקה יכול להיות או 0 או 1
Warning: Unable to find {0} in any table related to {1}, אזהרה: לא ניתן למצוא {0} בכל טבלה הקשורה ל {1}
This goes above the slideshow., אובייקט זה צריך להופיע מעל המצגת.
Send enquiries to this email address, שלח פניות לכתובת הדואר האלקטרוני הזו
Get Alerts for Today, קבל התראות עבור היום
Frappe Framework, מסגרת של Frappe
Reference, הפנייה
Added {0}, נוסף {0}
"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write
Ignore User Permissions, התעלם מהרשאות המשתמש
From, מ
You don't have access to Report: {0}, אין לך גישה לדוח: {0}
Tools, כלים
Login, כניסה
Not Saved, לא נשמר
chevron-up, chevron כלפי מעלה
{0} is saved, {0} נשמר
Advanced, מתקדם
DocType is a Table / Form in the application., DOCTYPE הוא טבלה / טופס ביישום.
User Permission, הרשאות משתמש
Email Settings, הגדרות דואר אלקטרוני
Scheduled to send to {0}, מתוכנן לשלוח ל {0}
arrow-down, חץ למטה
Customized HTML Templates for printing transactions., תבניות HTML מותאמות אישית עבור עסקאות הדפסה.
Title Field, כותרת שדה
screenshot, צילום מסך
Add to To Do, הוסף לרשימת המטלות
Location, מיקום
Login not allowed at this time, לא ניתן להתחבר בשלב זה
Missing parameters for login, פרמטרים חסרים עבור חיבור
Team Members Heading, כותרות לחברי הצוות
Breadcrumbs, פירורי לחם
Top Bar Item, פריט בסרגל העליון
Fieldtype cannot be changed from {0} to {1} in row {2}, לא ניתן לשנות את סוג השדה מ-{0} ל-{1} בשורה {2}
File too big, הקובץ גדול מדי
New Newsletter, ניוזלטר חדש
Start new Format, התחל פורמט חדש
Could not find {0}, לא ניתן למצוא את {0}
User {0} cannot be disabled, לא ניתן לחסום את משתמש {0}
Signature, חתימה
Shared, משותף
Website, אתר
Key, מפתח
Write a Python file in the same folder where this is saved and return column and result., הוסף קובץ פייתון באותה התיקייה שבה קובץ זה נשמר והוא יחזיר עמודה ותוצאה.
Policy, מדיניות
Display Depends On, התצוגה תלויה ב
Day, יום
Title field must be a valid fieldname, כותרת שדה חייבת להיות שם שדה תקף
Open Source Applications for the Web, יישומי קוד פתוח לאינטרנט
Home, בית
Not In, לא ב
"Company is mandatory, as it is your company address"
User editable form on Website., טופס הניתן לעריכה למשתמש באתר.
Allow only one session per user, אפשר רק זמן פעולה אחד לכל משתמש
This form has been modified after you have loaded it, טופס זה השתנה לאחר שהזנת אותו
Attach Image, צרף תמונה
Disable Standard Email Footer, השבת כותרת תחתונה רגילה בדואר האלקטרוני
Workflow State Field, שדה מצב זרימת עבודה
Invite as User, הזמן כמשתמש
Filters, מסננים
Select Table Columns for {0}, בחר עמודות מהטבלה עבור {0}
Something went wrong, משהו השתבש
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""", {0} {1} לא יכול להיות '{2}' עליו להיות אחד מ-'{3}'
Select Document Types to set which User Permissions are used to limit access., בחר את סוגי המסמכים שתרצה להגדיר עבורם הרשאות משתמש כדי להגביל גישה.
Assigned To/Owner, מוקצה ל / בעלים
Module, מודול
Cannot change docstatus from 1 to 0, לא יכול לשנות מצב המסמך מ 1 ל 0
Download Template, הורד תבנית
Only Administrator can edit, רק מנהל יכול לערוך
None: End of Workflow, אין: סוף זרימת העבודה
Send an email reminder in the morning, שלח תזכורת בדואר האלקטרוני בבוקר
Field Description, שדה תיאור
This is a very common password., זוהי סיסמה נפוצה מאוד.
Introductory information for the Contact Us Page, מידע מקדים לדף צרו קשר
Sign up, הירשם
Restore Original Permissions, שחזר הרשאות מקוריות
Fieldname, שם השדה
hdd, HDD
yyyy-mm-dd, yyyy-mm-dd
Your login id is, מזהה הכניסה שלך הוא
Last Login, חיבור אחרון
Unable to open attached file. Did you export it as CSV?, לא ניתן לפתוח את הקובץ המצורף. האם אתה לייצא אותו כקובץ CSV?
Add code as &lt;script&gt;, הוסף את הקוד כ'סקריפט'
Thank you for your message, תודה לך על ההודעה
"Customized Formats for Printing, Email"
A4, A4
circle-arrow-up, מעגל עם חץ כלפי מעלה
Default Address Template cannot be deleted, לא ניתן למחוק תבנית כתובות המוגדרת כברירת מחדל
Reload, רענן
Usage Info, מידע על השימוש
Dropbox Access Key, מפתח הגישה ל-Dropbox
Send Me A Copy, שלח לי עותק
{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}., {{{0}}} אינו תבנית חוקית לשם השדה. עליו להיות {{שם_השדה}} .
Roles, תפקידים
Thank you, תודה לך
Everyone, כולם
Report {0} is disabled, דוח {0} אינו זמין
Website Manager, מנהל אתר
chevron-left, שמאלי chevron
Blog Category, קטגורית בלוג
Translation, תרגום
"If you set this, this Item will come in a drop-down under the selected parent."
Rejected, נדחה
Queued, בתור
Date Format, פורמט תאריך
You can use wildcard %, אתה יכול להשתמש בתו חופשי%
chevron-down, chevron כלפי מטה
"Don't know, ask 'help'"
Updated {0}: {1}, עודכן {0}: {1}
Cannot create a {0} against a child document: {1}, לא ניתן ליצור {0} למול תת המסמך: {1}
Info, מידע
User ID of a Blogger, מזהה משתמש של הבלוגר
Please select Company, אנא בחר חברה
Letter, מכתב
Invalid Mail Server. Please rectify and try again., שרת דואר לא חוקי. אנא תקן ונסה שנית.
Core, ליבה
Invalid recipient address, כתובת הנמען אינה חוקית
Default Print Format, פורמט ברירת מחדל להדפסה
New Name, שם חדש
for {0}, עבור {0}
Activity, פעילות
"Change field properties (hide, readonly
Query, שאילתא
book, ספר
Success, הצלחה
Allow Print for Draft, אפשר הדפסה עבור טיוטה
Created On, נוצר ב
Quick Help for Setting Permissions, עזרה מהירה להגדרת הרשאות
Feedback, משוב
mm-dd-yyyy, mm-dd-yyyy
magnet, מגנט
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number."
Static Parameters, פרמטרים סטטיים
Email Group Member, שלח הודעה לחבר בקבוצה
Full Name, שם מלא
Example:, לדוגמא:
There is an error in your Address Template {0}, ישנה שגיאה בתבנית הכתובת שלך {0}
Email To, דואר אלקטרוני
"Use a few words, avoid common phrases."
Send alert if this field's value changes, שלח התראה אם ערך השדה הזה משתנה
Script or Query reports, דוחות על סקריפט או שאילתה
User permissions should not apply for this Link, הרשאות המשתמש לא אמורים לחול על קישור זה
"{0}: Only one rule allowed with the same Role, Level and {1}"
Download link for your backup will be emailed on the following email address: {0}, קישור להורדה לגיבוי שלך יישלחו לכתובת הדואר האלקטרוני הבאה: {0}
Invalid Email: {0}, דואר אלקטרוני לא חוקי: {0}
Unread Notification Sent, הודעה שלא נקראה נשלחה
Developer, מפתחים
Duplicate, שכפל
Download Backups, גיבויים להורדה
Another transaction is blocking this one. Please try again in a few seconds., עסקה נוספת חוסמת את העסקה הזו. אנא נסה שוב בעוד מספר שניות.
Already Registered, רשום כבר
App {0} is not installed, האפליקציה {0} אינה מותקנת
Attach File, צרף קובץ
Expired, פג תוקף
e.g. (55 + 434) / 4 or =Math.sin(Math.PI/2)..., לדוגמה (55 + 434) / 4 או =Math.sin(Math.PI / 2) ...
Website Theme Image, תמונת נושא של האתר
Unable to send emails at this time, לא ניתן לשלוח הודעות דואר אלקטרוני בשלב זה
{0} updated, {0} עודכן
Folder, תיקייה
Title Case, כותרת תיק
Please specify which date field must be checked, נא ציין שמועד שדה חייב להיות מסומן
{0} and {1}, {0} ו- {1}
Default Sending, ברירת מחדל לשליחה
Nested set error. Please contact the Administrator., שגיאת הגדרה מקוננת. נא פנה למנהל.
File {0} does not exist, קובץ {0} אינו קיים במערכת
Please select a file or url, אנא בחר קובץ או כתובת
eye-close, עין סגורה
0 is highest, 0 הוא הגבוה ביותר
DefaultValue, ערך ברירת מחדל
Do not allow user to change after set the first time, אל תאפשר למשתמש לשנות לאחר שהוגדר בפעם הראשונה
Search in a document type, חפש בסוג מסמך
Report, דוח
No {0} found, מספר {0} נמצא
Published On, פורסם ב
Invalid Outgoing Mail Server or Port, השרת או הפורט של הדואר היוצא אינו חוקי
Created Custom Field {0} in {1}, נוצר שדה מותאם אישית {0} ב {1}
You are not allowed to update this Web Form Document, אין לך הרשאות לעדכן את מסמך טופס האינטרנט הזה
DocField, שדה המסמך
Last IP, IP האחרון
Blog Introduction, פתח הבלוג
Additional Permissions, הרשאות נוספות
Button, לחצן
Leave a Comment, השאר תגובה
Document Share Report, דוח שיתוף מסמך
Page HTML, דף HTML
Reply, הגב
Default Value, ערך ברירת מחדל
You must login to submit this form, עליך להתחבר על מנת להגיש את הטופס הזה
Plant, מפעל
Email Account Name, שם חשבון הדואר האלקטרוני
In List View, ברשימת הצפייה
Contact, צור קשר
Better add a few more letters or another word, מומלץ להוסיף עוד כמה אותיות או מילה נוספת
bold, מודגש
Timezone, אזור זמן
Show Permissions, הצג הרשאות
Create New, צור חדש
Maintenance User, משתמש אחזקה
This is a top-10 common password., זוהי אחת מעשר הסיסמאות הנפוצות ביותר.
Report Manager, דווח על מנהל
Post, פוסט
Edit Heading, ערוך כותרת
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType', האפשרויות של סוג השדה 'קישור דינמי' חייבות להצביע על עוד שדה מקושר עם אפשרויות כמו 'DOCTYPE'
Password Reset, איפוס סיסמה
Home/Test Folder 2, דף הבית / תיקיית ניסיון 2
Thank you for your interest in subscribing to our updates, תודה לך על התעניינותך במנוי לעדכונים שלנו
Search, חפש
Incorrect value in row {0}: {1} must be {2} {3}, ערך שגוי בשורה {0}: {1} חייב להיות {2} {3}
Import Subscribers, ייבא מנויים
Icon, אייקון
App, יישום
File not attached, לא צורף קובץ
Submit, הגש
Invalid naming series (. missing), סדרת שמות לא חוקית (. חסר)
Reference Name, שם התייחסות
Danger, סכנה
Priority, עדיפות
e.g.:, לדוגמה:
Blog Settings, הגדרות בלוג
"There were some errors setting the name, please contact the administrator"
{0} days ago, {0} ימים לפני
Purchase User, משתמש רכש
High, גבוה
Ms, גברת
Can Write, יכול לכתוב
Allow user to login only before this hour (0-24), אפשר למשתמש להתחבר רק לפני שעה זו (0-24)
Days After, ימים לאחר
Option 1, אפשרות 1
Edit to add content, ערוך כדי להוסיף תוכן
Short Name, שם קצר
User Defaults, ברירות מחדל של המשתמש
{0} already unsubscribed for {1} {2}, {0} כבר ביטלו מנוי עבור {1} {2}
Logs, יומנים
Yandex.Mail, Yandex.Mail
PDF Settings, הגדרות PDF
Block Modules, מודולים ריקים
{0} does not exist in row {1}, {0} אינו קיים בשורה {1}
Received, התקבל
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO"
Straight rows of keys are easy to guess, קל לנחש רצף אותיות מאתוה שורה במקלדת
Enable Comments, אפשר תגובות
Ignored: {0} to {1}, הוזנח: {0} {1}
Quick Entry, רשומה מהירה
circle-arrow-left, מעגל עם חץ לשמאל
Robots.txt, robots.txt
Website Slideshow, מצגת של האתר
"Meaning of Submit, Cancel
resize-full, גודל חדש מלא
Newsletter has already been sent, ניוזלטר כבר נשלח
Print Format Type, סוג פורמט הדפסה
Red, אדום
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc."
Phone No., מספר טלפון
Succeeded, הצליח
Month, חודש
Data, נתונים
Cannot change docstatus from 0 to 2, לא ניתן לשנות את מצב המסמך מ-0 ל-2
Is Submittable, האם ניתן להגשה
{0} already unsubscribed, {0} כבר מנוי
"Contact options, like ""Sales Query
Payment Gateway, ספק סליקה
Custom Translations, תרגומים אישיים
glass, זכוכית
Report Hide, הסתר דוח
Like, כגון
Please save the document before assignment, אנא שמור את המסמך לפני המשימה
e.g. smtp.gmail.com, לדוגמה smtp.gmail.com
map-marker, סמן מפה
Target, יעד
Is Folder, האם תיקייה
Linked, מקושר
First Level, רמה ראשונה
gift, מתנה
{0} edited this {1}, {0} ערך את {1} הזה
Language Code, קוד שפה
Represents the states allowed in one document and role assigned to change the state., מייצג את המצבים המותרים במסמך אחד ואת בעל התפקיד שהוקצה כדי לשנות את המצב.
thumbs-down, אגודלים כלפי מטה
Insert After cannot be set as {0}, הכנס לאחר מכן לא יכול להיות מוגדר כ {0}
Please specify which value field must be checked, נא ציין איזה ערך שדה חייב להיות מסומן
"No need for symbols, digits
"Print Width of the field, if the field is a column in a table"
Label, תווית
Report Name, שם הדוח
Nothing to show, אין מה להציג
Clear all roles, לנקות את כל התפקידים
dd-mm-yyyy, dd-mm-yyyy
Dropbox Access Secret, גישה חשאית ל-Dropbox
Groups of DocTypes, קבוצות של סוגי מסמכים
Data missing in table, חסרים נתונים בטבלה
Documents assigned to you and by you., מסמכים שהוקצו לך ועל ידך.
Bounced, ההודעה לא הגיעה ליעדה
Track Seen, מסלול צפייה
Avoid recent years., הימנע משימוש בשנים האחרונות.
Complete By, הושלם על ידי
Active, פעיל
Note: Other permission rules may also apply, הערה: עשויים לחול גם כללי הרשאות נוספים
Email Sent?, ההודעה נשלחה?
User {0} is disabled, משתמש {0} נחסם
only., רק.
Company, חברה
User, משתמש
Patch, תיקון
Add Comment, הוסף תגובה
Website Theme, נושא האתר
First data column must be blank., עמודת הנתונים הראשונה חייבת להיות ריקה.
Published, פורסם
Google Analytics ID, המזהה של Google Analytics
Is Standard, האם סטנדרטי
Please enter valid mobile nos, אנא הזן מספרי טלפון חוקיים
For User, עבור המשתמש
[Label]:[Field Type]/[Options]:[Width], [תוית]: [סוג שדה] / [אפשרויות]: [רוחב]
Yahoo Mail, Yahoo Mail
"If you think this is unauthorized, please change the Administrator password."
film, סרט
Disable Signup, בטל הרשמה
Hello {0}, שלום {0}
Header, כותרת
Common names and surnames are easy to guess., קל לנחש שמות ושמות משפחה נפוצים.
Append To is mandatory for incoming mails, השדה צרף ל נדרש בהודעות נכנסות
Email Footer Address, כתובת דואר אלקטרוני בכותרת התחתונה
SMS, SMS
Please specify, אנא ציין
Display, הצג
Roles HTML, תפקידי HTML
File Manager, מנהל הקבצים
"The task {0}, that you assigned to {1}
Permission Levels, רמות הרשאה
Naming, שמות
Page to show on the website, עמוד להצגה באתר
zoom-in, הגדל
Reverse Icon Color, הפוך את צבע האייקון
Banner, באנר
Daily, יומי
Status, סטטוס
Unshared, שאינו משותף
"Style represents the button color: Success - Green, Danger - Red
Reset to defaults, אפס לברירות מחדל
Contact Details, פרטי יצירת קשר
eject, דחה
Image Link, קישור התמונה
Custom Script, סקריפט מותאם אישית
star, כוכב
For example if you cancel and amend INV004 it will become a new document INV004-1. This helps you to keep track of each amendment., "לדוגמא
Is, האם
Row #, # שורה
resize-vertical, שנה את הגודל האנכי
ESC, יציאה
Top Bar, סרגל עליון
Make use of longer keyboard patterns, השתמש ברצפי מקלדת ארוכים
Datetime, תאריך ושעה
Select Document Type, בחר סוג המסמך
picture, תמונה
"{0}, Row {1}"
Delete this record to allow sending to this email address, מחק רשומה זו כדי לאפשר שליחה לכתובת הדואר האלקטרוני הזו
Print Width, רוחב הדפסה
Event, אירוע
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111), הגבל את המשתמש מכתובת ה- IP הזו בלבד. ניתן להוסיף כתובות IP מרובות על ידי הפרדה בפסיקים. כמו כן קבל כתובות IP חלקיות כמו (111.111.111)
Reference: {0} {1}, התייחסות: {0} {1}
Message, הודעה
Js, Js
Based On, המבוסס על
Javascript to append to the head section of the page., Javascript להוספה למקטע בראש הדף.
Yesterday, אתמול
list-alt, סמליל רשימה
Administrator Logged In, המנהל מחובר
font, גופן
No permission to read {0}, אין הרשאות לקרוא את {0}
JavaScript Format: frappe.query_reports['REPORTNAME'] = {}, פורמט JavaScript: frappe.query_reports ['REPORTTYPE'] = {}
No permission for {0}, אין הרשאה עבור {0}
Helvetica, Helvetica
Scheduled to send to {0} recipients, מתוכנן לשלוח ל-{0} נמענים
All, כולם
There should remain at least one System Manager, צריך להישאר מנהל מערכת אחד לפחות
"Language, Date and Time settings"
Team Members, חברי צוות
Please save the document before removing assignment, אנא שמור את המסמך לפני הסרת משימה
{0} not a valid State, {0} הוא אינו מצב חוקי
Attach, צרף
Email not sent to {0} (unsubscribed / disabled), ההודעה לא נשלחה ל-{0} (לא מנוי / חסום)
More content for the bottom of the page., תוכן נוסף בתחתית הדף.
Web Form Fields, שדות הטופס האינטרנטי
globe, גלובוס
Option 2, אפשרות 2
Parent Error Snapshot, תמונת מצב של שגיאת המקור
Tree, עֵץ
Paste, הדבק
Your email address, כתובת הדואר האלקטרוני שלך
Dear, יקר
hand-left, העבר שמאלה
Print Style Preview, הדפס תצוגה מקדימה של הסגנון
Calculate, חשב
Repeat Header and Footer in PDF, חזור על כותרת עליונה ותחתונה ב- PDF
Create a new {0}, צור {0} חדש
Defines actions on states and the next step and allowed roles., "מגדיר פעולות במצבים
Deleted, נמחק
Not Sent, לא נשלח
Build Report, בנה דוח
Reference Owner, הפנה לבעלים
Notify if unreplied, עדכן אם לא התקבלה תגובה
Models (building blocks) of the Application, מודלים (אבני הבניין) של היישום
Level, רמה
info-sign, סימן מידע
Reference Document, מסמך ההפניה
Introduction, מבוא
circle-arrow-right, מעגל עם חץ ימינה
Relapses, שגיאות חוזרות
Mandatory, חובה
Token is missing, מפתח חסר
Personal, אישי
Sorry! User should have complete access to their own record., מצטערים! צריכה להיות למשתמשים גישה מלאה לרשומות שלהם.
Report Type, סוג הדוח
Same file has already been attached to the record, אותו קובץ כבר צורף לרשומה
Role Permissions Manager, מנהל הרשאות התפקידים
Image field must be of type Attach Image, שדה תמונה חייב להיות מסוג צרף תמונה
With Letterhead, עם נייר מכתבים
List of themes for Website., רשימה של נושאים לאתר.
"Allowing DocType, DocType. Be careful!"
Write a SELECT query. Note result is not paged (all data is sent in one go)., כתוב שאילתה SELECT. שים לב כי התוצאה לא מחולקת לעמודים (כל הנתונים נשלחים בפעם אחת).
From Full Name, משם מלא
Stores the JSON of last known versions of various installed apps. It is used to show release notes., מאחסן את ה-JSON של הגרסאות האחרונות הידועות של יישומים מותקנים שונים. הוא משמש כדי להראות הערות הפצה.
Force Show, אלץ הצגה
Sent, נשלח
In Hours, בשעות
{0} shared this document with everyone, {0} שיתף מסמך זה עם כולם
Cannot connect: {0}, לא ניתן להתחבר: {0}
Client, לקוח
{0} in row {1} cannot have both URL and child items, {0} בשורה {1} לא יכול להיות עם שתי כתובות ותת-פריטים
fullscreen, מסך מלא
Add a comment, הוסף תגובה
"If your data is in HTML, please copy paste the exact HTML code with the tags."
Address Type, סוג הכתובת
Document, מסמך
Liked, אהבתי
More Information, מידע נוסף
Last Modified On, שונה לאחרונה ב-
Row, שורה
Link DocType, DOCTYPE קישור
Is Active, האם פעיל
No, לא
You are not allowed to print this document, "אין באפשרותך להדפיס את המסמך הזה
Communication Type, סוג התקשורת
Update, עדכן
Default for 'Check' type of field must be either '0' or '1', ברירת מחדל עבור סוג השדה 'בדוק' חייבת להיות או '0' או '1'
Submitted Document cannot be converted back to draft. Transition row {0}, לא ניתן להמיר מסמך שהוגש חזרה לטיוטה. שורת מעבר {0}
Field Name, שם שדה
"If disabled, this role will be removed from all users."
Fold can not be at the end of the form, Fold לא יכול להיות בסופו של הטופס
"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""", קצת יותר קשה לנחש חזרות כמו 'abcabcabc' מאשר 'ABC'
Blog Intro, הקדמה לבלוג
Thursday, יום חמישי
remove-circle, הסר עיגול
Cancel, בטל
Open, פתח
Remove Section, הסר מקטע
Define workflows for forms., הגדר זרימות עבודה לטפסים.
Assigned By Me, הוקצה על ידי
About, אודות
Integrations can use this field to set email delivery status, שילוב יכול לשמש בשדה זה כדי להגדיר מצב משלוח הדואר האלקטרוני
Login After, התחבר אחרי
bell, פעמון
Please save the Newsletter before sending, אנא שמור את הניוזלטר לפני שתשלח
Workflow Document State, מצב זרימת העבודה במסמך
Reference DocName, שם המסמך המאוזכר
Start, התחל
Login to comment, התחבר כדי להגיב
Right, ימין
"Setup of top navigation bar, footer and logo."
lock, נעל
Reference DocType and Reference Name are required, התייחסות DOCTYPE ושם הפניה נדרשים
This feature is brand new and still experimental, מאפיין זה הוא חדש ועדיין ניסיוני
One Last Step, שלב אחד אחרון
{0} must be unique, {0} חייב להיות ייחודי
Website Script, סקריפט האתר
No records tagged., מספר רשומות מתויגות.
Is Primary Contact, האם איש קשר ראשי
Private and public Notes., הערות פרטיות וציבוריות.
This Currency is disabled. Enable to use in transactions, מטבע זה אינו זמין. אפשר כדי להשתמש בו בעסקאות
Half-yearly, חצי שנתי
Refresh, רענן
Print Settings, הגדרות הדפסה
You are not allowed to delete a standard Website Theme, אין לך הרשאות למחוק את נושא אתר הסטנדרטי
No of Columns, מספר העמודות
play, לשחק
Reference Type, סוג ההתייחסות
The system provides many pre-defined roles. You can add new roles to set finer permissions., המערכת מספקת מספר רב של תפקידים מוגדרים מראש. אתה יכול להוסיף תפקידים חדשים כדי להגדיר הרשאות מדויקות יותר.
Value for {0} cannot be a list, ערך של {0} לא יכול להיות רשימה
music, מוסיקה
Allow Google Drive Access, אפשר גישה ל- Google Drive
Not Set, לא הוגדר
Please set filters, אנא הגדר מסננים
Code, קוד
fast-forward, הקפץ קדימה
share, שתף
